368,8014VK,Regentenstraat,38,,ALG1003
369,8014VK,Regentenstraat,40,,ALG1003
370,8014VK,Regentenstraat,42,,ALG1003
371,8014VL,Regentenstraat,52,,ALG1003
372,8014VL,Regentenstraat,54,,ALG1003
373,8014VL,Regentenstraat,56,,ALG1003
374,8014VL,Regentenstraat,58,,ALG1003
375,8014VL,Regentenstraat,60,,ALG1003
376,8014VL,Regentenstraat,62,,ALG1003
377,8014VL,Regentenstraat,64,,ALG1003
378,8014VL,Regentenstraat,66,,ALG1003
379,8014VL,Regentenstraat,68,,ALG1003
380,8014VL,Regentenstraat,70,,ALG1003
381,8014VL,Regentenstraat,72,,ALG1003
382,8014VL,Regentenstraat,74,,ALG1003
383,8014VL,Regentenstraat,76,,ALG1003
384,8014VL,Regentenstraat,78,,ALG1003
385,8014VL,Regentenstraat,80,,ALG1003
386,8014VL,Regentenstraat,82,,ALG1003
387,8014VM,Regentenstraat,84,,ALG1003
388,8014VM,Regentenstraat,86,,ALG1003
389,8014VM,Regentenstraat,88,,ALG1003
390,8014VM,Regentenstraat,90,,ALG1003
391,8014VM,Regentenstraat,92,,ALG1003
392,8014VM,Regentenstraat,94,,ALG1003
393,8014VM,Regentenstraat,96,,ALG1003
394,8014VM,Regentenstraat,98,,ALG1003
395,8014VM,Regentenstraat,102,,ALG1003
396,8014VM,Regentenstraat,104,,ALG1003
397,8014VM,Regentenstraat,106,,ALG1003
398,8014VM,Regentenstraat,108,,ALG1003
399,8014VM,Regentenstraat,110,,ALG1003
400,8014VM,Regentenstraat,112,,ALG1003
401,8014VM,Regentenstraat,114,,ALG1003
402,8014VM,Regentenstraat,116,,ALG1003
403,8014VN,Regentenstraat,118,,ALG1003
404,8014VN,Regentenstraat,120,,ALG1003
405,8014VN,Regentenstraat,122,,ALG1003
406,8014VN,Regentenstraat,124,,ALG1003
407,8014VN,Regentenstraat,126,,ALG1003
408,8014VN,Regentenstraat,128,,ALG1003
409,8014VN,Regentenstraat,130,,ALG1003
410,8014VN,Regentenstraat,132,,ALG1003
411,8014VN,Regentenstraat,134,,ALG1003
412,8014VN,Regentenstraat,136,,ALG1003
413,8014VN,Regentenstraat,138,,ALG1003
414,8014VN,Regentenstraat,140,,ALG1003
415,8014VN,Regentenstraat,142,,ALG1003
416,8014VN,Regentenstraat,144,,ALG1003
417,8014VN,Regentenstraat,146,,ALG1003
418,8014VN,Regentenstraat,148,,ALG1003
419,8014VN,Regentenstraat,150,,ALG1003
420,8014VN,Regentenstraat,152,,ALG1003
226,8014VT,Van der Capellenstraat,1,,ALG1003
227,8014VT,Van der Capellenstraat,3,,ALG1003
228,8014VT,Van der Capellenstraat,5,,ALG1003
229,8014VT,Van der Capellenstraat,7,,ALG1003
230,8014VT,Van der Capellenstraat,9,,ALG1003
231,8014VT,Van der Capellenstraat,11,,ALG1003
232,8014VT,Van der Capellenstraat,13,,ALG1003
233,8014VT,Van der Capellenstraat,15,,ALG1003
234,8014VT,Van der Capellenstraat,17,,ALG1003
235,8014VT,Van der Capellenstraat,19,,ALG1003
236,8014VT,Van der Capellenstraat,21,,ALG1003
237,8014VT,Van der Capellenstraat,23,,ALG1003
238,8014VT,Van der Capellenstraat,25,,ALG1003
239,8014VT,Van der Capellenstraat,27,,ALG1003
240,8014VT,Van der Capellenstraat,29,,ALG1003
241,8014VT,Van der Capellenstraat,31,,ALG1003
242,8014VT,Van der Capellenstraat,33,,ALG1003
243,8014VT,Van der Capellenstraat,35,,ALG1003
244,8014VT,Van der Capellenstraat,37,,ALG1003
245,8014VT,Van der Capellenstraat,39,,ALG1003
246,8014VT,Van der Capellenstraat,41,,ALG1003
439,8021DG,Rembrandtlaan,101,,ALG1006
432,8021DG,Rembrandtlaan,101,A,ALG1006
440,8021DG,Rembrandtlaan,103,,ALG1006
433,8021DG,Rembrandtlaan,103,A,ALG1006
441,8021DG,Rembrandtlaan,105,,ALG1006
434,8021DG,Rembrandtlaan,105,A,ALG1006
442,8021DG,Rembrandtlaan,107,,ALG1006
435,8021DG,Rembrandtlaan,107,A,ALG1006
443,8021DG,Rembrandtlaan,109,,ALG1006
444,8021DG,Rembrandtlaan,111,,ALG1006
445,8021DG,Rembrandtlaan,113,,ALG1006
436,8021DG,Rembrandtlaan,113,A,ALG1006
446,8021DG,Rembrandtlaan,115,,ALG1006
437,8021DG,Rembrandtlaan,115,A,ALG1006
447,8021DG,Rembrandtlaan,117,,ALG1006
438,8021DG,Rembrandtlaan,117,A,ALG1006
448,8021DM,Ruysdaelstraat,25,,ALG1006
449,8021DM,Ruysdaelstraat,27,,ALG1006
450,8021DM,Ruysdaelstraat,29,,ALG1006
451,8021DM,Ruysdaelstraat,31,,ALG1006
452,8021DM,Ruysdaelstraat,33,,ALG1006
453,8021DM,Ruysdaelstraat,35,,ALG1006
454,8021DM,Ruysdaelstraat,37,,ALG1006
455,8021DM,Ruysdaelstraat,39,,ALG1006
456,8021DN,Ruysdaelstraat,41,,ALG1006
457,8021DN,Ruysdaelstraat,43,,ALG1006
